id,Predicted
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,1
540,0
541,1
542,1
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,1
622,0
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,0
653,1
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,1
662,1
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,0
732,1
733,0
734,0
735,1
736,0
737,1
738,1
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,1
789,1
790,0
791,1
792,1
793,0
794,0
795,0
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,0
806,1
807,1
808,1
809,0
810,1
811,1
