id,Predicted
0,3
1,4
2,3
3,2
4,4
5,4
6,2
7,3
8,4
9,3
10,0
11,4
12,3
13,3
14,0
15,3
16,2
17,4
18,2
19,0
20,0
21,1
22,4
23,4
24,3
25,0
26,0
27,3
28,3
29,0
30,3
31,1
32,1
33,1
34,3
35,4
36,1
37,3
38,4
39,2
40,0
41,4
42,2
43,3
44,2
45,3
46,0
47,0
48,2
49,0
50,2
51,0
52,1
53,4
54,0
55,3
56,3
57,1
58,1
59,4
60,2
61,2
62,1
63,1
64,3
65,0
66,4
67,4
68,0
69,0
70,0
71,1
72,2
73,1
74,0
75,4
76,3
77,0
78,0
79,3
80,3
81,0
82,0
83,2
84,1
85,3
86,3
87,0
88,4
89,3
90,1
91,1
92,0
93,2
94,0
95,2
96,0
97,2
98,3
99,2
100,0
101,1
102,4
103,3
104,2
105,1
106,4
107,0
108,2
109,1
110,0
111,4
112,0
113,4
114,0
115,4
116,4
117,4
118,1
119,0
120,3
121,0
122,0
123,2
124,1
125,3
126,4
127,3
128,0
129,1
130,4
131,2
132,4
133,0
134,4
135,1
136,2
137,1
138,4
139,2
140,1
141,0
142,2
143,3
144,4
145,4
146,2
147,0
148,3
149,1
150,0
151,0
152,4
153,2
154,0
155,2
156,1
157,4
158,2
159,2
160,2
161,4
162,3
163,4
164,0
165,0
166,0
167,3
168,1
169,0
170,2
171,4
172,3
173,0
174,0
175,0
176,0
177,3
178,0
179,3
180,0
181,4
182,4
183,1
184,0
185,1
186,3
187,0
188,0
189,0
190,0
191,3
192,4
193,2
194,0
195,1
196,3
197,3
198,1
199,3
200,0
201,1
202,2
203,0
204,4
205,1
206,1
207,4
208,0
209,4
210,0
211,0
212,3
213,2
214,0
215,3
216,3
217,3
218,1
219,1
220,4
221,1
222,3
223,2
224,1
225,2
226,3
227,0
228,1
229,3
230,1
231,0
232,0
233,1
234,3
235,4
236,1
237,3
238,4
239,0
240,3
241,0
242,1
243,0
244,0
245,2
246,3
247,2
248,1
249,1
250,4
251,3
252,1
253,4
254,3
255,1
256,2
257,1
258,1
259,3
260,0
261,4
262,4
263,4
264,0
265,0
266,2
267,2
268,1
269,3
270,0
271,0
272,1
273,2
274,1
275,2
276,3
277,2
278,0
279,4
280,4
281,1
282,1
283,4
284,0
285,1
286,2
287,2
288,3
289,1
290,1
291,1
292,0
293,2
294,3
295,3
296,3
297,1
298,4
299,3
300,2
301,4
302,3
303,4
304,0
305,3
306,3
307,4
308,1
309,1
310,3
311,3
312,4
313,0
314,2
315,0
316,4
317,2
318,3
319,4
320,0
321,1
322,4
323,3
324,0
325,4
326,1
327,0
328,1
329,1
330,4
331,3
332,0
333,0
334,3
335,3
336,1
337,0
338,0
339,2
340,0
341,1
342,4
343,3
344,4
345,0
346,1
347,4
348,1
349,3
350,3
351,0
352,3
353,1
354,4
355,2
356,3
357,1
358,3
359,4
360,3
361,4
362,1
363,3
364,4
365,2
366,2
367,3
368,3
369,1
370,4
371,3
372,0
373,3
374,2
375,4
376,3
377,0
378,3
379,4
380,3
381,4
382,0
383,3
384,3
385,4
386,2
387,4
388,4
389,4
390,1
391,3
392,4
393,4
394,4
395,3
396,4
397,0
398,1
399,4
400,2
401,4
402,4
403,0
404,0
405,1
406,3
407,1
408,3
409,1
410,4
411,3
412,0
413,1
414,4
415,3
416,3
417,3
418,2
419,2
420,1
421,2
422,4
423,2
424,0
425,0
426,4
427,2
428,2
429,2
430,4
431,1
432,4
433,3
434,4
435,1
436,3
437,2
438,4
439,3
440,2
441,4
442,0
443,0
444,3
445,1
446,4
447,0
448,0
449,0
450,3
451,4
452,3
453,2
454,0
455,1
456,3
457,3
458,3
459,0
460,2
461,0
462,1
463,0
464,3
465,2
466,4
467,1
468,0
469,4
470,4
471,2
472,0
473,3
474,2
475,0
476,4
477,2
478,3
479,4
480,2
481,0
482,3
483,2
484,2
485,0
486,0
487,2
488,4
489,0
490,1
491,4
492,4
493,4
494,2
495,3
496,1
497,0
498,1
499,1
500,1
501,4
502,0
503,0
504,3
505,2
506,1
507,4
508,3
509,3
510,3
511,0
512,3
513,0
514,0
515,0
516,4
517,1
518,3
519,0
520,3
521,4
522,4
523,3
524,4
525,3
526,2
527,0
528,3
529,2
530,4
531,3
532,0
533,4
534,3
535,0
536,2
537,2
538,4
539,4
540,0
541,4
542,0
543,1
544,4
545,0
546,4
547,3
548,1
549,0
550,0
551,0
552,0
553,1
554,4
555,2
556,3
557,0
558,0
559,0
560,4
561,3
562,3
563,4
564,0
565,1
566,4
567,0
568,4
569,2
570,3
571,0
572,1
573,2
574,3
575,4
576,3
577,4
578,1
579,3
580,1
581,0
582,3
583,3
584,4
585,3
586,1
587,3
588,0
589,4
590,0
591,0
592,1
593,4
594,4
595,3
596,0
597,4
598,1
599,2
600,0
601,4
602,0
603,0
604,3
605,0
606,3
607,4
608,4
609,4
610,0
611,3
612,4
613,3
614,3
615,3
616,2
617,2
618,4
619,4
620,1
621,3
622,2
623,4
624,2
625,1
626,4
627,0
628,4
629,1
630,0
631,4
632,3
633,3
634,4
635,3
636,2
637,1
638,2
639,3
640,1
641,2
642,1
643,0
644,2
645,4
646,0
647,3
648,1
649,3
650,2
651,4
652,3
653,1
654,1
655,0
656,0
657,0
658,0
659,1
660,4
661,3
662,4
663,2
664,2
665,3
666,1
667,2
668,2
669,0
670,0
671,2
672,4
673,1
674,1
675,2
676,4
677,1
678,4
679,3
680,0
681,1
682,1
683,3
684,4
685,3
686,0
687,3
688,4
689,1
690,0
691,0
692,0
693,0
694,0
695,2
696,2
697,0
698,0
699,0
700,1
701,3
702,2
703,2
704,2
705,0
706,4
707,4
708,1
709,4
710,2
711,2
712,0
713,0
714,4
715,1
716,4
717,4
718,1
719,2
720,3
721,1
722,4
723,2
724,3
725,4
726,0
727,4
728,4
729,0
730,4
731,2
732,0
733,3
734,0
735,0
736,2
737,4
738,0
739,2
740,2
741,4
742,4
743,4
744,0
745,1
746,4
747,4
748,3
749,2
750,1
751,3
752,3
753,0
754,2
755,4
756,1
757,0
758,4
759,3
760,3
761,1
762,3
763,1
764,0
765,4
766,1
767,0
768,1
769,1
770,4
771,0
772,0
773,3
774,0
775,4
776,4
777,0
778,0
779,2
780,1
781,3
782,4
783,1
784,4
785,4
786,3
787,3
788,3
789,0
790,2
791,1
792,3
793,2
794,1
795,1
796,1
797,0
798,4
799,4
800,0
801,0
802,1
803,0
804,1
805,2
806,3
807,4
808,1
809,0
810,4
811,3
812,0
813,1
814,1
815,0
816,4
817,3
818,0
819,1
820,3
821,1
822,2
823,4
824,0
825,0
826,1
827,3
828,4
829,2
830,3
831,4
832,2
833,3
834,0
835,3
836,0
837,1
838,3
839,0
840,4
841,3
842,2
843,3
844,4
845,0
846,4
847,1
848,1
849,0
850,2
851,3
852,1
853,1
854,2
855,4
856,4
857,3
858,3
859,0
860,4
861,3
862,2
863,2
864,2
865,2
866,3
867,1
868,2
869,0
870,3
871,0
872,3
873,3
874,1
875,4
876,2
877,3
878,3
879,0
880,3
881,1
882,2
883,4
884,0
885,1
886,1
887,4
888,1
889,4
890,4
891,3
892,0
893,4
894,1
895,0
896,0
897,1
898,1
899,1
900,0
901,0
902,4
903,0
904,4
905,2
906,0
907,3
908,2
909,2
910,2
911,4
912,3
913,2
914,0
915,0
916,4
917,3
918,1
919,1
920,4
921,4
922,1
923,1
924,1
925,3
926,4
927,1
928,4
929,3
930,2
931,1
932,1
933,1
934,0
935,1
936,4
937,1
938,4
939,1
940,4
941,3
942,0
943,2
944,4
945,3
946,3
947,4
948,2
949,4
950,1
951,2
952,0
953,3
954,1
955,2
956,3
957,3
958,1
959,4
960,1
961,3
962,3
963,1
964,4
965,3
966,2
967,3
968,1
969,1
970,4
971,4
